Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
WATER RESOURCES,5,200,65,100.0,5.89536,40.0,96.98942,1.1360000000000001,0.9820381518255024
MARINE & FRESHWATER BIOLOGY,4,181,66,100.0,6.217875000000001,45.25,96.53505000000001,1.1675000000000002,1.1109306592525996
BIOLOGY,9,179,67,100.0,2.0797666666666665,19.88888888888889,79.95113333333335,0.45333333333333337,0.48829119215768035
"MATERIALS SCIENCE, BIOMATERIALS",1,174,68,100.0,13.959200000000001,174.0,99.9568,4.73,4.271865960440936
TOXICOLOGY,5,165,69,100.0,3.6634599999999997,33.0,93.5624,0.9339999999999999,0.8101814752560395
ANTHROPOLOGY,7,144,70,85.71428571428571,5.3228,20.571428571428573,81.22402857142856,0.47000000000000003,0.5050481923674013
THERMODYNAMICS,1,131,71,100.0,9.7247,131.0,99.7744,2.6100000000000003,3.21617494722852
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3,123,72,100.0,3.5526666666666666,41.0,93.38439999999999,1.1133333333333335,1.00658910562114
BIOPHYSICS,6,121,73,100.0,2.0616666666666665,20.166666666666668,85.1928,0.8616666666666668,0.4951109015453575
"CHEMISTRY, INORGANIC & NUCLEAR",2,117,74,100.0,6.1205,58.5,98.82625,1.1700000000000002,1.4362307970447972
PEDIATRICS,2,110,75,100.0,7.6631,55.0,88.40710000000001,1.275,1.3503024587600658
MICROSCOPY,2,106,76,100.0,8.158900000000001,53.0,99.5094,1.06,1.3012005511687905
"PHYSICS, NUCLEAR",3,97,77,100.0,4.644666666666667,32.333333333333336,92.88550000000002,0.7666666666666667,0.7938141727256145
"DENTISTRY, ORAL SURGERY & MEDICINE",3,91,78,100.0,5.346166666666666,30.333333333333332,97.02703333333334,0.7733333333333334,0.7447122651343393
ENTOMOLOGY,3,88,79,100.0,5.309200000000001,29.333333333333332,96.84826666666667,0.7366666666666667,0.7201613113387016
