Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
PERIPHERAL VASCULAR DISEASE,2,38,103,100.0,1.3943,19.0,71.26545,0.52,0.6600692748544825
INSTRUMENTS & INSTRUMENTATION,1,37,104,100.0,4.0068,37.0,96.26960000000001,1.31,1.285398061558729
PEDIATRICS,2,37,104,100.0,2.41655,18.5,88.57915,0.485,0.6426990307793645
TRANSPLANTATION,1,36,106,100.0,3.4225000000000003,36.0,95.8202,0.9400000000000001,1.2506575734084933
"COMPUTER SCIENCE, THEORY & METHODS",4,35,107,75.0,1.3743500000000002,8.75,56.905225,0.315,0.3039792713145643
GEOGRAPHY,3,26,108,100.0,2.0032,8.666666666666666,81.70656666666667,0.6633333333333334,0.301084230635378
"ENGINEERING, MECHANICAL",1,25,109,100.0,2.3686000000000003,25.0,90.0233,0.65,0.868512203755898
"MATHEMATICS, APPLIED",3,25,109,100.0,1.4960666666666667,8.333333333333334,55.63373333333334,0.22,0.2895040679186327
PSYCHOLOGY,3,24,111,100.0,0.8664333333333333,8.0,47.504333333333335,0.21333333333333335,0.27792390520188737
"ENGINEERING, ENVIRONMENTAL",1,22,112,100.0,1.1795,22.0,71.8034,0.78,0.7642907393051903
HISTORY & PHILOSOPHY OF SCIENCE,1,20,113,100.0,9.866200000000001,20.0,98.7399,0.7100000000000001,0.6948097630047184
MUSIC,1,20,113,100.0,26.297700000000003,20.0,100.0,0.7100000000000001,0.6948097630047184
SOIL SCIENCE,2,20,113,100.0,2.07565,10.0,85.18755,0.7450000000000001,0.3474048815023592
HEALTH CARE SCIENCES & SERVICES,1,19,116,100.0,2.7851000000000004,19.0,93.30030000000001,0.67,0.6600692748544825
ELECTROCHEMISTRY,1,18,117,100.0,0.9348000000000001,18.0,62.718900000000005,0.47000000000000003,0.6253287867042466
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1,17,118,100.0,1.7098,17.0,87.4096,0.44,0.5905882985540106
"SOCIAL SCIENCES, BIOMEDICAL",2,16,119,50.0,0.88995,8.0,42.69375,0.21000000000000002,0.27792390520188737
"MEDICINE, LEGAL",1,14,120,100.0,2.8828,14.0,92.51140000000001,0.49000000000000005,0.4863668341033029
SURGERY,2,14,120,100.0,2.249,7.0,84.3495,0.44500000000000006,0.24318341705165145
COMMUNICATION,1,13,122,100.0,3.0313000000000003,13.0,91.89500000000001,0.46,0.451626345953067
DERMATOLOGY,1,13,122,100.0,2.0651,13.0,86.8365,0.46,0.451626345953067
LINGUISTICS,1,13,122,100.0,4.5392,13.0,96.16600000000001,0.46,0.451626345953067
GERONTOLOGY,1,12,125,100.0,1.7089,12.0,82.3713,0.42000000000000004,0.41688585780283105
ORTHOPEDICS,1,11,126,100.0,1.77,11.0,83.33890000000001,0.39,0.38214536965259516
"PHYSICS, NUCLEAR",1,9,127,100.0,1.4102000000000001,9.0,78.88680000000001,0.32,0.3126643933521233
ACOUSTICS,1,8,128,100.0,1.0998,8.0,69.94850000000001,0.28,0.27792390520188737
"CHEMISTRY, INORGANIC & NUCLEAR",1,8,128,100.0,0.8370000000000001,8.0,58.148900000000005,0.21000000000000002,0.27792390520188737
