Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
METALLURGY & METALLURGICAL ENGINEERING,1,116,57,100.0,10.344700000000001,116.0,99.74950000000001,0.8300000000000001,2.6576581665240075
"COMPUTER SCIENCE, INFORMATION SYSTEMS",1,109,58,100.0,29.1097,109.0,99.53330000000001,9.31,2.497282242682042
LAW,7,97,59,85.71428571428571,16.251942857142858,13.857142857142858,83.31835714285714,1.6442857142857146,0.31747886964634087
"PSYCHOLOGY, EXPERIMENTAL",4,97,59,100.0,2.6732750000000003,24.25,92.34795000000001,0.195,0.5555880218810965
ZOOLOGY,6,94,61,100.0,4.1966833333333335,15.666666666666666,85.04321666666668,1.4316666666666666,0.3589365914558286
MANAGEMENT,3,93,62,100.0,3.7147333333333337,31.0,93.88663333333334,0.5466666666666667,0.7102362341572779
PARASITOLOGY,3,91,63,100.0,2.9721333333333333,30.333333333333332,77.87243333333333,0.43,0.6949623366485193
TOXICOLOGY,2,86,64,100.0,12.22925,43.0,94.8758,3.7750000000000004,0.9851663893149339
OBSTETRICS & GYNECOLOGY,1,84,65,100.0,13.5912,84.0,99.8005,0.74,1.924511086103592
CLINICAL NEUROLOGY,2,79,66,100.0,20.0015,39.5,99.32894999999999,3.4450000000000003,0.904978427393951
"PSYCHOLOGY, SOCIAL",2,78,67,100.0,13.61265,39.0,96.62445000000001,3.33,0.893523004262382
ARCHAEOLOGY,1,77,68,100.0,28.429100000000002,77.0,100.0,0.68,1.764135162261626
"ENGINEERING, ELECTRICAL & ELECTRONIC",1,71,69,100.0,7.5533,71.0,98.87830000000001,0.62,1.626670084682798
BIOCHEMICAL RESEARCH METHODS,1,59,70,100.0,21.9163,59.0,99.5138,5.2,1.3517399295251418
"PHYSICS, NUCLEAR",1,51,71,100.0,7.991300000000001,51.0,99.14500000000001,0.45,1.1684531594200378
"PHYSICS, FLUIDS & PLASMAS",1,47,72,100.0,5.2424,47.0,98.77420000000001,0.34,1.0768097743674858
PALEONTOLOGY,4,46,73,75.0,1.8141,11.5,59.25255,0.09,0.26347473202608696
HEALTH CARE SCIENCES & SERVICES,1,43,74,100.0,6.3032,43.0,98.8983,0.38,0.9851663893149339
"PSYCHOLOGY, DEVELOPMENTAL",3,42,75,100.0,1.4632333333333332,14.0,70.30506666666668,0.12666666666666668,0.32075184768393195
FISHERIES,3,39,76,100.0,5.567966666666667,13.0,93.93426666666669,1.1366666666666667,0.29784100142079395
NANOSCIENCE & NANOTECHNOLOGY,2,35,77,100.0,1.08395,17.5,77.13425000000001,0.27,0.400939809604915
SPORT SCIENCES,1,33,78,100.0,2.1423,33.0,88.70060000000001,0.16,0.756057926683554
BIODIVERSITY CONSERVATION,8,30,79,50.0,0.8581000000000001,3.75,37.324987500000006,1.5387500000000003,0.08591567348676749
DEMOGRAPHY,1,29,80,100.0,5.420100000000001,29.0,94.0171,2.56,0.6644145416310019
ORNITHOLOGY,1,28,81,100.0,9.7453,28.0,100.0,0.25,0.6415036953678639
CARDIAC & CARDIOVASCULAR SYSTEMS,2,25,82,100.0,1.3936000000000002,12.5,68.75765000000001,0.15000000000000002,0.28638557828922495
COMMUNICATION,2,25,82,50.0,1.17185,12.5,60.0,4.0,0.28638557828922495
"ENGINEERING, MECHANICAL",1,21,84,100.0,51.217200000000005,21.0,99.81450000000001,1.85,0.481127771525898
EDUCATION & EDUCATIONAL RESEARCH,3,19,85,100.0,5.474,6.333333333333333,91.68043333333334,0.6266666666666667,0.14510202633320732
VETERINARY SCIENCES,1,18,86,100.0,22.102600000000002,18.0,99.536,7.640000000000001,0.412395232736484
GASTROENTEROLOGY & HEPATOLOGY,2,17,87,100.0,3.95005,8.5,92.98425,0.735,0.194742193236673
GEOLOGY,1,15,88,100.0,2.7359,15.0,91.6947,0.13,0.34366269394706994
INTERNATIONAL RELATIONS,2,14,89,100.0,3.25035,7.0,89.57045000000001,0.6000000000000001,0.16037592384196597
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1,14,89,100.0,5.1625000000000005,14.0,96.0708,1.2,0.32075184768393195
URBAN STUDIES,1,14,89,100.0,4.6608,14.0,94.6768,1.23,0.32075184768393195
SOCIOLOGY,1,9,92,100.0,2.5529,9.0,88.1152,0.08,0.206197616368242
TRANSPLANTATION,1,8,93,100.0,2.2489,8.0,92.07050000000001,0.68,0.183286770105104
"COMPUTER SCIENCE, THEORY & METHODS",1,6,94,100.0,3.3196000000000003,6.0,92.7184,0.53,0.13746507757882798
REMOTE SENSING,2,6,94,100.0,1.2665000000000002,3.0,89.39395,0.255,0.06873253878941399
MICROSCOPY,1,4,96,100.0,6.571400000000001,4.0,100.0,0.35000000000000003,0.091643385052552
REGIONAL & URBAN PLANNING,1,4,96,100.0,3.0,4.0,100.0,1.7000000000000002,0.091643385052552
INFORMATION SCIENCE & LIBRARY SCIENCE,1,3,98,100.0,3.5478,3.0,88.9706,0.9600000000000001,0.06873253878941399
ROBOTICS,1,2,99,100.0,0.6818000000000001,2.0,76.2963,0.17,0.045821692526276
"MATHEMATICS, APPLIED",1,1,100,100.0,2.8261000000000003,1.0,86.15390000000001,0.09000000000000001,0.022910846263138
CRYSTALLOGRAPHY,1,0,101,0.0,0.0,0.0,1.3158,0.0,0.0
HISTORY & PHILOSOPHY OF SCIENCE,1,0,101,0.0,0.0,0.0,0.0651,0.0,0.0
LITERATURE,1,0,101,0.0,0.0,0.0,0.11860000000000001,0.0,0.0

Filter Summary:
Dataset: Web of Science 25082021:073616 + ESCI
Schema:  Web of Science
="Domestic/International Collaboration:  All"
"Time Period:  [2016, 2020]"
Funding Data Source:  All Sources

"Exported date  Aug 25, 2021. "
"InCites dataset updated  2021-07-30. Includes Web of Science content indexed through 2021-06-30. "

